fund,property_code,property,property_name_clean,suite,lease_start,lease_end,lease_term_months,remaining_term_months,security_deposit,market,data_quality_flag,lease,lease_type,term,tenancy,monthly,monthly_.1,annual,annual_.1,annual_.2,annual_.3,loc_amount_,fund_derived
FUND 3,3ga00006,3905 Steve Reynolds Blvd (3ga00006),3905 Steve Reynolds Blvd,"120,  160",2024-06-28,2029-07-31,61.1,47.7,,41606.0,,"Mash Enterprise, LLC  (t0001246)",Industrial Net,62.0,1.08,24964.68,0.6,299576.16,7.2,2.92,0,0,Fund 3
FUND 3,3ga00007,4025 Steve Reynolds Blvd (3ga00007),4025 Steve Reynolds Blvd,100,2024-06-28,2029-06-30,60.1,46.6,,19200.0,,"Jenkins Services and Restoration, Inc. (t0001252)",Industrial Net,61.0,1.08,16640,0.87,199680,10.4,2.83,0,0,Fund 3
FUND 3,3ga00007,4025 Steve Reynolds Blvd (3ga00007),4025 Steve Reynolds Blvd,106,2024-06-28,2030-05-31,71.1,57.7,,12894.0,,"Delta Landscape Supply of Georgia, Inc. (t0001251)",Industrial Net,72.0,1.08,6226.75,0.48,74721,5.8,2.39,0,0,Fund 3
FUND 3,3ga00007,4025 Steve Reynolds Blvd (3ga00007),4025 Steve Reynolds Blvd,110,2024-06-28,2027-10-31,40.1,26.7,,12800.0,,"Eagle Abrasives, Inc. (t0001249)",Industrial Net,41.0,1.08,9066.67,0.71,108800.04,8.5,1.43,0,0,Fund 3
FUND 3,3ga00007,4025 Steve Reynolds Blvd (3ga00007),4025 Steve Reynolds Blvd,114,2024-06-28,2027-04-30,34.0,20.6,0.0,9600.0,,Byokane (U.S.A.) Corp. (t0001247),Industrial Net,35.0,1.08,8112,0.84,97344,10.14,1.8,0,0,Fund 3
FUND 3,3ga00007,4025 Steve Reynolds Blvd (3ga00007),4025 Steve Reynolds Blvd,120,2024-06-28,2028-02-29,44.1,30.7,,16000.0,,Centimark Corporation  (t0001248),Industrial Net,45.0,1.08,11897.6,0.74,142771.2,8.92,2.28,0,0,Fund 3
FUND 3,3ga00008,1056 Personal Place (3ga00008),1056 Personal Place,1,2024-10-08,2026-04-30,18.7,8.6,,90021.0,,"MWD Logistics, Inc. (t0001329)",Industrial Net,19.0,0.75,55580.17,0.62,666962.04,7.41,1.42,0,0,Fund 3
FUND 3,3ga00009,48-50 Best Friend Road (3ga00009),48-50 Best Friend Road,1,2024-10-08,2028-03-31,41.7,31.7,,163524.0,,"Currey & Company, Inc.  (t0001330)",Industrial Net,42.0,0.75,89671.85,0.55,1076062.2,6.58,1.68,0,0,Fund 3
FUND 3,3ga00010,3285 Saturn Ct (3ga00010),3285 Saturn Ct,1,,,,,,35911.0,,VACANT,,,,,,,,,,,Fund 3
FUND 3,3ga00011,1400 Beaver Ruin Rd (3ga00011),1400 Beaver Ruin Rd,100,2024-10-16,2030-04-30,66.4,56.6,0.0,75073.0,,"SRS Distribution, Inc. (t0001350)",Modified Gross,67.0,0.75,66916.67,0.89,803000.04,10.7,1.54,0,0,Fund 3
FUND 3,3ga00012,"Hart Portfolio, ATL - 4916 N. Royal Dr (3ga00012)","Hart Portfolio, ATL - 4916 N. Royal Dr",100,2025-05-14,2028-11-25,42.4,39.5,,30000.0,,"Five Star Food Service, Inc.  (t0001524)",Industrial Net,42.0,0.17,16095.89,0.54,193150.68,6.44,1.92,0,0,Fund 3
FUND 3,3ga00013,"Hart Portfolio, ATL - 4919 N Royal Dr (3ga00013)","Hart Portfolio, ATL - 4919 N Royal Dr",100,2025-05-14,2028-11-25,42.4,39.5,,80600.0,,"Five Star Food Service, Inc.  (t0001525)",Industrial Net,42.0,0.17,47341.87,0.59,568102.44,7.05,1.74,0,0,Fund 3
FUND 3,3ga00014,"Hart Portfolio, ATL - 1120 Vend Dr (3ga00014)","Hart Portfolio, ATL - 1120 Vend Dr",100,2025-05-14,2029-02-14,45.1,42.2,,25000.0,,"Five Star Food Service, Inc.  (t0001526)",Industrial Net,45.0,0.17,17346.43,0.69,208157.16,8.33,0.89,0,0,Fund 3
FUND 3,3ga00015,1765 West Oak Parkway (3ga00015),1765 West Oak Parkway,100,2025-06-30,2028-05-31,35.0,33.7,0.0,22257.0,,"** UTZ Quality Foods, LLC (t0001554)",Industrial Net,36.0,0,19258.53,0.87,231102.36,10.38,2.79,0,0,Fund 3
FUND 3,3ga00015,1765 West Oak Parkway (3ga00015),1765 West Oak Parkway,500,2025-06-30,2029-06-30,48.0,46.6,0.0,14400.0,,"** Oil Solutions Group, Inc. (t0001556)",Industrial Net,49.0,0,13540.8,0.94,162489.6,11.28,2.25,0,0,Fund 3
FUND 3,3ga00015,1765 West Oak Parkway (3ga00015),1765 West Oak Parkway,700,2025-06-30,2025-09-30,3.0,1.7,0.0,29457.0,,"** Clear Channel Outdoor, Inc. (t0001541)",Industrial Net,4.0,0,19215.61,0.65,230587.32,7.83,2.93,0,0,Fund 3
FUND 3,3ga00016,1775 West Oak Parkway (3ga00016),1775 West Oak Parkway,100,2025-06-02,2032-06-30,84.9,82.7,0.0,19857.0,,"** TexDoor, LLC (t0001558)",Industrial Net,85.0,0.08,18500.11,0.93,222001.32,11.18,2.45,0,0,Fund 3
FUND 3,3ga00016,1775 West Oak Parkway (3ga00016),1775 West Oak Parkway,200,2025-06-02,2027-02-28,20.9,18.6,0.0,6400.0,,** LPS Industries (t0001552),Industrial Net,21.0,0.08,4225.21,0.66,50702.52,7.92,0,0,0,Fund 3
FUND 3,3ga00016,1775 West Oak Parkway (3ga00016),1775 West Oak Parkway,300,2025-06-02,2030-07-31,61.9,59.7,0.0,13047.0,,"** Patterson Dental Supply, Inc., (t0001643)",Industrial Net,62.0,0.08,0,0,0,0,2.59,0,0,Fund 3
FUND 3,3ga00016,1775 West Oak Parkway (3ga00016),1775 West Oak Parkway,300-A,,,,,,13047.0,,VACANT,,,,,,,,,,,Fund 3
FUND 3,3ga00016,1775 West Oak Parkway (3ga00016),1775 West Oak Parkway,300A,2025-06-02,2026-07-31,13.9,11.7,0.0,9864.0,,** Intelligent Marking USA Inc. (t0001557),Industrial Net,14.0,0.08,7636.38,0.77,91636.56,9.29,2.68,0,0,Fund 3
FUND 3,3ga00016,1775 West Oak Parkway (3ga00016),1775 West Oak Parkway,600,2025-06-02,2027-04-30,22.9,20.6,0.0,9900.0,,"** Pro-Cam Georgia, Inc. (t0001553)",Industrial Net,23.0,0.08,8794.5,0.89,105534,10.66,0,0,0,Fund 3
FUND 3,3ga00016,1775 West Oak Parkway (3ga00016),1775 West Oak Parkway,800,2025-06-02,2026-08-31,14.9,12.7,0.0,9603.0,,"** American Residential Services, LLC  (t0001551)",Industrial Net,15.0,0.08,7354.3,0.77,88251.6,9.19,0,0,0,Fund 3
FUND 3,3ga00016,1775 West Oak Parkway (3ga00016),1775 West Oak Parkway,850,2025-06-02,2028-12-31,43.0,40.7,0.0,9600.0,,** EVOL Nutrition Associates Inc. (t0001555),Industrial Net,43.0,0.08,7904,0.82,94848,9.88,0,0,0,Fund 3
FUND 3,3ga00016,1775 West Oak Parkway (3ga00016),1775 West Oak Parkway,900,2025-06-02,2025-10-31,5.0,2.7,0.0,12414.0,,** Brink’s Incorporated (t0001559),Industrial Net,5.0,0.08,9734.65,0.78,116815.8,9.41,0,0,0,Fund 3
FUND 3,3ga00017,1950 Evergreen Boulevard (3ga00017),1950 Evergreen Boulevard,100,2025-06-02,2030-05-31,59.9,57.7,0.0,38640.0,,"** Intertek Testing Services NA, Inc. (t0001606)",Industrial Net,60.0,0.08,37030,0.96,444360,11.5,3.51,0,0,Fund 3
FUND 3,3ga00017,1950 Evergreen Boulevard (3ga00017),1950 Evergreen Boulevard,200,2025-06-02,2026-09-30,15.9,13.7,0.0,11214.0,,"** Koh Young America, Inc. (t0001607)",Industrial Net,16.0,0.08,9753.6,0.87,117043.2,10.44,0,0,0,Fund 3
FUND 3,3ga00017,1950 Evergreen Boulevard (3ga00017),1950 Evergreen Boulevard,"300,  400,  500",2025-06-02,2030-07-31,61.9,59.7,0.0,84372.0,,** Summit Fire & Security LLC (t0001608),Industrial Net,62.0,0.08,26109.57,0.31,313314.84,3.71,0,0,0,Fund 3
FUND 3,3ga00018,1955 Evergreen Blvd  (3ga00018),1955 Evergreen Blvd,200,2025-06-02,2028-08-31,39.0,36.7,0.0,29182.0,,"** Connext, LLC (t0001568)",Industrial Net,39.0,0.08,25670.43,0.88,308045.16,10.56,2.56,0,0,Fund 3
FUND 3,3ga00018,1955 Evergreen Blvd  (3ga00018),1955 Evergreen Blvd,250,2025-06-02,2026-10-31,17.0,14.7,0.0,7497.0,,** Hill's Pet Nutrition Sales Inc. (t0001566),Industrial Net,17.0,0.08,7666.93,1.02,92003.16,12.27,0,0,0,Fund 3
FUND 3,3ga00018,1955 Evergreen Blvd  (3ga00018),1955 Evergreen Blvd,300,2025-06-02,2026-02-28,8.9,6.6,0.0,11254.0,,"** Tetra Tech, Inc. (t0001565)",Industrial Net,9.0,0.08,12660.75,1.12,151929,13.5,3.72,0,0,Fund 3
FUND 3,3ga00018,1955 Evergreen Blvd  (3ga00018),1955 Evergreen Blvd,50,2025-06-02,2027-08-31,26.9,24.7,0.0,25147.0,,** Convergint Technologies LLC (t0001567),Industrial Net,27.0,0.08,23994.43,0.95,287933.16,11.45,0,0,0,Fund 3
FUND 3,3ga00019,1965 Evergreen Boulevard (3ga00019),1965 Evergreen Boulevard,100,2025-06-02,2030-12-31,67.0,64.7,0.0,33087.0,,"** Diamond Comic Distributors, Inc. (t0001561)",Industrial Net,67.0,0.08,29965.79,0.91,359589.48,10.87,2.95,0,0,Fund 3
FUND 3,3ga00019,1965 Evergreen Boulevard (3ga00019),1965 Evergreen Boulevard,150,2025-06-02,2026-04-30,10.9,8.6,0.0,17469.0,,** ADT LLC (t0001564),Industrial Net,11.0,0.08,16217.06,0.93,194604.72,11.14,0,0,0,Fund 3
FUND 3,3ga00019,1965 Evergreen Boulevard (3ga00019),1965 Evergreen Boulevard,200,2025-06-02,2028-03-31,33.9,31.7,0.0,11240.0,,"** The Bridge Church Atlanta, Inc. (t0001562)",Industrial Net,34.0,0.08,11708.33,1.04,140499.96,12.5,2.95,0,0,Fund 3
FUND 3,3ga00019,1965 Evergreen Boulevard (3ga00019),1965 Evergreen Boulevard,300,2025-06-02,2027-02-28,20.9,18.6,0.0,5620.0,,"** JTech, an HME Company (t0001563)",Industrial Net,21.0,0.08,6256.93,1.11,75083.16,13.36,2.95,0,0,Fund 3
FUND 3,3ga00019,1965 Evergreen Boulevard (3ga00019),1965 Evergreen Boulevard,400,2025-06-02,2025-07-31,1.9,0.0,0.0,11252.0,,** Harimatec Inc. (t0001560),Industrial Net,2.0,0.08,10722.37,0.95,128668.44,11.44,1.69,0,0,Fund 3
FUND 3,3ga00020,3140 Northwoods Parkway (3ga00020),3140 Northwoods Parkway,100,2025-06-02,2028-07-31,37.9,35.7,0.0,22064.0,,** Goss RV Inc. (t0001618),Industrial Net,38.0,0.08,14382.57,0.65,172590.84,7.82,0,0,0,Fund 3
FUND 3,3ga00020,3140 Northwoods Parkway (3ga00020),3140 Northwoods Parkway,300,2025-06-02,2031-07-31,73.9,71.6,0.0,28398.0,,"** Engent, Inc. (t0001616)",Industrial Net,74.0,0.08,26330.27,0.93,315963.24,11.13,0,0,0,Fund 3
FUND 3,3ga00020,3140 Northwoods Parkway (3ga00020),3140 Northwoods Parkway,"500,  700",2025-06-02,2028-04-30,34.9,32.7,0.0,50462.0,,"** Centricsit, LLC (t0001617)",Industrial Net,35.0,0.08,47939,0.95,575268,11.4,0,0,0,Fund 3
FUND 3,3ga00021,3145 Northwoods Parkway (3ga00021),3145 Northwoods Parkway,100,2025-06-02,2026-07-31,13.9,11.7,0.0,17600.0,,"** Top Notch Training Center,L.L.C. (t0001612)",Industrial Net,14.0,0.08,15033.33,0.85,180399.96,10.25,0,0,0,Fund 3
FUND 3,3ga00021,3145 Northwoods Parkway (3ga00021),3145 Northwoods Parkway,200,2025-06-02,2029-01-31,44.0,41.7,0.0,11014.0,,"** Toshiba America Business Solutions, Inc. (t0001613)",Industrial Net,44.0,0.08,10500,0.95,126000,11.44,2.65,0,0,Fund 3
FUND 3,3ga00021,3145 Northwoods Parkway (3ga00021),3145 Northwoods Parkway,"400,  500,  600_800",2025-06-02,2027-10-31,28.9,26.7,0.0,45415.0,,"** Netplanner Systems, Inc. (t0001614)",Industrial Net,29.0,0.08,33150.23,0.73,397802.76,8.76,0,0,0,Fund 3
FUND 3,3il00001,410 Factory (3il00001),410 Factory,410,2021-12-08,2026-12-31,60.7,16.7,,41634.0,,"Leaf Home Enhancements, LLC (t0000938)",Modified Gross,61.0,3.58,18565.75,0.45,222789,5.35,0.21,0,0,Fund 3
FUND 3,3il00002,150-152 Railroad (3il00002),150-152 Railroad,100,2022-07-18,2025-07-31,36.4,0.0,,18590.0,,Mercury Mechanical Service Corp. (t0000913),Industrial Net,37.0,3,12548.25,0.68,150579,8.1,6.18,0,0,Fund 3
FUND 3,3il00002,150-152 Railroad (3il00002),150-152 Railroad,150,2024-06-01,2029-07-31,62.0,47.7,,22406.0,,"EventLink, LLC (t0001190)",Industrial Net,62.0,1.08,14078.44,0.63,168941.28,7.54,6.29,0,0,Fund 3
FUND 3,3il00003,2100 W 32nd (3il00003),2100 W 32nd,2100,2022-01-10,2028-01-10,72.0,29.0,0.0,19511.0,,Active Roofing LLC (t0000937),Industrial Net,72.0,3.5,9583.33,0.49,114999.96,5.89,4.33,0,0,Fund 3
FUND 3,3il00004,3380 Grand Ave (3il00004),3380 Grand Ave,3380,2023-02-01,2030-05-31,87.9,57.7,,46156.0,,Northstar Trading (t0000986),Industrial Net,88.0,2.42,21424.08,0.46,257088.96,5.57,2.57,0,0,Fund 3
FUND 3,3il00005,955 Estes Avenue (3il00005),955 Estes Avenue,100,2023-03-01,2030-05-31,87.0,57.7,,45236.0,,Rademaker (t0001001),Industrial Net,87.0,2.33,36949.17,0.82,443390.04,9.8,3.04,0,0,Fund 3
FUND 3,3il00006,1221 Landmeier (3il00006),1221 Landmeier,1221,2015-05-01,2027-12-31,152.0,28.7,,119700.0,,"Trimaco, Inc. (t0000963)",Industrial Net,152.0,10.17,55971.63,0.47,671659.56,5.61,0,0,0,Fund 3
FUND 3,3il00007,800-812 Greenleaf Avenue (3il00007),800-812 Greenleaf Avenue,800,2020-06-15,2026-08-31,74.5,12.7,,9250.0,,Mid-America Safety Corporation (t0000969),Industrial Net,75.0,5.08,7215,0.78,86580,9.36,4.85,0,0,Fund 3
FUND 3,3il00007,800-812 Greenleaf Avenue (3il00007),800-812 Greenleaf Avenue,802,2020-08-01,2026-09-30,73.9,13.7,,9250.0,,"Krishiv Foods, LLC (t0000970)",Industrial Net,74.0,4.92,7180.31,0.78,86163.72,9.31,4.85,0,0,Fund 3
FUND 3,3il00007,800-812 Greenleaf Avenue (3il00007),800-812 Greenleaf Avenue,810,2012-04-01,2027-06-30,182.9,22.6,,9250.0,,"Direct Cabinet Supply, LLC (t0000971)",Modified Gross,183.0,13.25,5535.15,0.6,66421.8,7.18,2.92,0,0,Fund 3
FUND 3,3il00007,800-812 Greenleaf Avenue (3il00007),800-812 Greenleaf Avenue,812,2022-12-26,2028-01-31,61.2,29.7,,9250.0,,Ultimate Stone Inc (t0000982),Industrial Net,62.0,2.58,6542.22,0.71,78506.64,8.49,4.85,0,0,Fund 3
FUND 3,3il00008,1060 N Garfield (3il00008),1060 N Garfield,,2024-09-04,2026-03-31,18.8,7.7,0.0,0.0,,"** MP Hollywood, LLC (t0001321)",Industrial Net,19.0,0.83,5622,0,67464,0,0,0,0,Fund 3
FUND 3,3il00008,1060 N Garfield (3il00008),1060 N Garfield,1060,2024-09-06,2025-12-31,15.8,4.7,,9450.0,,"Diagnostic Support Services, Inc. (t0001325)",Industrial Net,16.0,0.83,7372,0.78,88464,9.36,3.01,0,0,Fund 3
FUND 3,3il00008,1060 N Garfield (3il00008),1060 N Garfield,1062,2024-09-06,2026-03-31,18.8,7.7,,8125.0,,"A-To-Be USA, LLC (t0001320)",Industrial Net,19.0,0.83,6285,0.77,75420,9.28,2.99,0,0,Fund 3
FUND 3,3il00008,1060 N Garfield (3il00008),1060 N Garfield,1064,2024-09-06,2027-08-31,35.8,24.7,,5000.0,,"Mirkovich & Associates, Inc. (t0001327)",Industrial Net,36.0,0.83,5670,1.13,68040,13.61,2.99,0,0,Fund 3
FUND 3,3il00008,1060 N Garfield (3il00008),1060 N Garfield,1066-68,2024-09-06,2025-12-31,15.8,4.7,,11875.0,,"Diagnostic Support Services, Inc. (t0001322)",Industrial Net,16.0,0.83,8549,0.72,102588,8.64,2.99,0,0,Fund 3
FUND 3,3il00008,1060 N Garfield (3il00008),1060 N Garfield,1070,2024-09-06,2026-09-30,24.8,13.7,,6875.0,,"AVT Sealing Solutions, Inc. (t0001324)",Industrial Net,25.0,0.83,5214,0.76,62568,9.1,2.99,0,0,Fund 3
FUND 3,3il00008,1060 N Garfield (3il00008),1060 N Garfield,1072,2024-09-06,2028-08-31,47.8,36.7,,8670.0,,"Key Interior Designs, LLC (t0001323)",Industrial Net,48.0,0.83,6503,0.75,78036,9,2.98,0,0,Fund 3
FUND 3,3il00009,825 26th Street (3il00009),825 26th Street,100,2024-11-15,2028-01-05,37.6,28.8,,156000.0,,"Brady Industries of Illinois, LLC (t0001356)",Industrial Net,38.0,0.67,70726.67,0.45,848720.04,5.44,2.95,0,0,Fund 3
FUND 3,3il00010,3605 Swenson Ave (3il00010),3605 Swenson Ave,100,2024-11-19,2025-08-31,9.4,0.7,,28800.0,,Hazloc Industries LLC (t0001374),Industrial Net,10.0,0.67,10182.67,0.35,122192.04,4.24,1.64,0,0,Fund 3
FUND 3,3il00010,3605 Swenson Ave (3il00010),3605 Swenson Ave,3605,2024-11-19,2028-12-31,49.4,40.7,,28800.0,,Thieme Gmbh & Co. KG (t0001376),Industrial Net,50.0,0.67,14461.2,0.5,173534.4,6.03,1.64,0,0,Fund 3
FUND 3,3il00010,3605 Swenson Ave (3il00010),3605 Swenson Ave,3609,2024-11-19,2030-08-31,69.3,60.7,,56960.0,,"Lighting Innovations, Inc. (t0001377)",Industrial Net,70.0,0.67,24363.36,0.43,292360.32,5.13,1.64,0,0,Fund 3
FUND 3,3il00011,1670 Frontenac Road (3il00011),1670 Frontenac Road,100,2024-11-19,2026-06-30,19.3,10.6,,93405.0,,"Servex, Inc. (t0001375)",Industrial Net,20.0,0.67,36252.82,0.39,435033.84,4.66,1.35,0,0,Fund 3
FUND 3,3il00012,1674 Frontenac Rd (3il00012),1674 Frontenac Rd,100,2024-11-19,2031-04-30,77.3,68.6,,51277.0,,"Ask Products, Inc. (t0001373)",Industrial Net,78.0,0.67,22653.56,0.44,271842.72,5.3,2.07,0,0,Fund 3
FUND 3,3il00013,1265 Naperville Drive (3il00013),1265 Naperville Drive,100,2025-02-10,2035-02-09,119.9,114.0,,72683.0,,1265 Naperville Drive LLC (t0001442),Industrial Net,120.0,0.42,60569.17,0.83,726830.04,10,0.32,0,0,Fund 3
FUND 3,3il00014,600 W Irving Park Road (3il00014),600 W Irving Park Road,100,2025-01-31,2028-01-30,35.9,29.7,0.0,120000.0,,"S&S Truck Parts, LLC, c/o Investcorp (t0001415)",Industrial Net,36.0,0.5,82865.13,0.69,994381.56,8.29,4.6,0,0,Fund 3
FUND 3,3il00015,3801-31 Hawthorne Court (3il00015),3801-31 Hawthorne Court,3801,2025-04-16,2026-12-31,20.5,16.7,,0.0,,"Alan Josephsen Co., Inc. and Records Management, Inc. (t0001505)",Industrial Net,21.0,0.25,10921.86,0,131062.32,0,0,0,0,Fund 3
FUND 3,3il00015,3801-31 Hawthorne Court (3il00015),3801-31 Hawthorne Court,3805,2025-04-16,2027-05-31,25.5,21.6,,0.0,,PREFABPADS LLC (t0001507),Industrial Net,26.0,0.25,11801.45,0,141617.4,0,0,0,0,Fund 3
FUND 3,3il00015,3801-31 Hawthorne Court (3il00015),3801-31 Hawthorne Court,3821-31,2025-04-16,2026-10-31,18.5,14.7,,0.0,,"Ludlow Manufacturing, Inc. (t0001508)",Industrial Net,19.0,0.25,59545.11,0,714541.32,0,0,0,0,Fund 3
FUND 3,3il00015,3801-31 Hawthorne Court (3il00015),3801-31 Hawthorne Court,3807,,,,,,14473.0,,VACANT,,,,,,,,,,,Fund 3
FUND 3,3il00016,750 District Drive (3il00016),750 District Drive,100,2025-04-17,2025-10-31,6.5,2.7,,50753.0,,"Czervik Holdings, LLC (t0001511)",Industrial Net,7.0,0.25,40179.46,0.79,482153.52,9.5,3,0,0,Fund 3
FUND 3,3md00001,9176 Red Branch (3md00001),9176 Red Branch,A-E,2022-06-03,2027-01-31,55.9,17.7,0.0,19689.0,,"Ark Systems, Inc. (t0000832)",Industrial Net,56.0,3.08,16541.19,0.84,198494.28,10.08,3.08,0,0,Fund 3
FUND 3,3md00001,9176 Red Branch (3md00001),9176 Red Branch,F,2022-06-03,2025-12-31,42.9,4.7,,4646.0,,Philip Franklin Heiliger & Nany Patricia Heiliger (t0000840),Industrial Net,43.0,3.08,5435.82,1.17,65229.84,14.04,3.07,0,0,Fund 3
FUND 3,3md00001,9176 Red Branch (3md00001),9176 Red Branch,G,2022-06-03,2025-12-31,42.9,4.7,,4606.0,,"C&J Contractors, LLC (t0000833)",Industrial Net,43.0,3.08,4893.88,1.06,58726.56,12.75,3.2,0,0,Fund 3
FUND 3,3md00001,9176 Red Branch (3md00001),9176 Red Branch,IJK,2025-04-01,2030-07-31,64.0,59.7,,11158.0,,Prime Egrocery Inc (t0001443),Industrial Net,64.0,0.25,0,0,0,0,2.75,0,0,Fund 3
FUND 3,3md00001,9176 Red Branch (3md00001),9176 Red Branch,L,2022-06-03,2026-06-30,48.9,10.6,,3760.0,,"Gossamer Security Solutions, Inc. (t0000837)",Industrial Net,49.0,3.08,4485.65,1.19,53827.8,14.32,3.08,0,0,Fund 3
FUND 3,3md00001,9176 Red Branch (3md00001),9176 Red Branch,"MN,  OP",2022-06-03,2029-07-31,85.9,47.7,,17901.0,,"Xcision Medical Systems, LLC (t0000841)",Industrial Net,86.0,3.08,19691.1,1.1,236293.2,13.2,3.07,0,0,Fund 3
FUND 3,3md00001,9176 Red Branch (3md00001),9176 Red Branch,Q,2022-06-03,2030-04-30,94.9,56.6,,4210.0,,"Daring Design, LLC (t0000835)",Industrial Net,95.0,3.08,4473.12,1.06,53677.44,12.75,3.21,0,0,Fund 3
FUND 3,3md00001,9176 Red Branch (3md00001),9176 Red Branch,RS,2024-04-01,2029-03-31,60.0,43.7,,7571.0,,"Carnival Day, Inc. (t0001154)",Industrial Net,60.0,1.25,8529.99,1.13,102359.88,13.52,3.07,0,0,Fund 3
FUND 3,3md00001,9176 Red Branch (3md00001),9176 Red Branch,T,2022-06-03,2029-03-31,81.9,43.7,,3412.0,,"Casey's Coffee, Inc. (t0000834)",Industrial Net,82.0,3.08,3412,1,40944,12,3.07,0,0,Fund 3
FUND 3,3md00001,9176 Red Branch (3md00001),9176 Red Branch,H,,,,,,4510.0,,VACANT,,,,,,,,,,,Fund 3
FUND 3,3md00002,6704 Curtis (3md00002),6704 Curtis,A,2021-03-01,2029-06-30,100.0,46.6,0.0,48083.0,,Vision Technologies LLC (t0000936),Industrial Net,100.0,4.33,47343.72,0.98,568124.64,11.82,1.85,0,0,Fund 3
FUND 3,3md00002,6704 Curtis (3md00002),6704 Curtis,B,2023-12-15,2028-12-14,60.0,40.1,,11369.0,,EQUIPMENTSHARE.COM INC (t0001157),Industrial Net,60.0,1.58,12316.42,1.08,147797.04,13,2.35,0,0,Fund 3
FUND 3,3md00003,8361 Town Center Court (3md00003),8361 Town Center Court,100,2022-12-01,2028-01-31,62.0,29.7,,30333.0,,JES Groundworks (t0000985),Industrial Net,62.0,2.58,24606.13,0.81,295273.56,9.73,3.42,0,0,Fund 3
FUND 3,3md00004,7120 Ambassador Road (3md00004),7120 Ambassador Road,7122,2017-05-08,2027-09-30,124.7,25.7,0.0,6700.0,,State of Maryland (t0000987),Modified Gross,125.0,8.17,6867.5,1.02,82410,12.3,0,0,0,Fund 3
FUND 3,3md00004,7120 Ambassador Road (3md00004),7120 Ambassador Road,7124,2025-03-01,2035-06-30,123.9,118.6,,16261.0,,Provo Ventures LLC (t0001058),Industrial Net,124.0,0.33,6939.8,0.43,83277.6,5.12,2.5,0,0,Fund 3
FUND 3,3md00004,7120 Ambassador Road (3md00004),7120 Ambassador Road,7128,2025-02-15,2029-08-31,54.5,48.7,,9429.0,,"MASTER’S, INC. (t0001195)",Industrial Net,55.0,0.42,8250.38,0.88,99004.56,10.5,2.75,0,0,Fund 3
FUND 3,3md00004,7120 Ambassador Road (3md00004),7120 Ambassador Road,7130,2020-04-01,2026-02-28,70.9,6.6,,4234.0,,"Club & Cycle, LLC (t0000990)",Industrial Net,71.0,5.25,3852.94,0.91,46235.28,10.92,2.22,0,0,Fund 3
FUND 3,3md00004,7120 Ambassador Road (3md00004),7120 Ambassador Road,7132,2017-01-01,2026-02-28,109.9,6.6,,4145.0,,"Foreman Turf Specialties, Inc. (t0000992)",Industrial Net,110.0,8.5,4414.4,1.06,52972.8,12.78,2.22,0,0,Fund 3
FUND 3,3md00004,7120 Ambassador Road (3md00004),7120 Ambassador Road,7126,,,,,,6541.0,,VACANT,,,,,,,,,,,Fund 3
FUND 3,3md00004,7120 Ambassador Road (3md00004),7120 Ambassador Road,PARK,,,,,,0.0,,VACANT,,,,,,,,,,,Fund 3
FUND 3,3md00005,221 Cockeysville Road (3md00005),221 Cockeysville Road,A,2023-10-13,2026-10-14,36.0,14.1,0.0,22500.0,,"TA Dispatch, LLC (t0001107)",Modified Gross,36.0,1.75,17212.04,0.76,206544.48,9.18,0,0,0,Fund 3
FUND 3,3md00005,221 Cockeysville Road (3md00005),221 Cockeysville Road,B,2023-10-13,2025-10-31,24.6,2.7,,7525.0,,"Marathon Roofing, Inc. (t0001106)",Modified Gross,25.0,1.75,3589.39,0.48,43072.68,5.72,0,0,0,Fund 3
FUND 3,3md00005,221 Cockeysville Road (3md00005),221 Cockeysville Road,C,2024-02-01,2025-07-31,17.9,0.0,,2674.0,,"Laker Partners, LLC (t0001179)",Industrial Net,18.0,1.42,2549.21,0.95,30590.52,11.44,2.25,0,0,Fund 3
FUND 3,3md00006,2915 Wilmarco Ave (3md00006),2915 Wilmarco Ave,100,2024-02-29,2028-06-30,52.0,34.7,0.0,63040.0,,Aalberts Surface Treatment Corp. (t0001193),Industrial Net,53.0,1.42,38790.61,0.62,465487.32,7.38,1.55,0,0,Fund 3
FUND 3,3md00007,1200 Bernard Drive (3md00007),1200 Bernard Drive,100,2024-08-29,2026-04-30,20.0,8.6,,49728.0,,"Railway Products Group, Inc. (t0001342)",Industrial Net,21.0,0.92,31074.09,0.62,372889.08,7.5,1.99,0,0,Fund 3
FUND 3,3nc00001,10000 Industrial Drive (3nc00001),10000 Industrial Drive,10000,2022-01-12,2027-03-31,62.5,19.6,,56847.0,,"Mecklenburg Home Furniture and Mattress, Inc. (t0001004)",Industrial Net,63.0,3.5,24870.56,0.44,298446.72,5.25,0.85,0,0,Fund 3
FUND 3,3nc00002,4112 Joe Street (3nc00002),4112 Joe Street,4112,2023-09-07,2025-09-30,24.8,1.7,,45750.0,,"Bates Enterprises, Inc. (t0001089)",Industrial Net,25.0,1.83,22258.05,0.49,267096.6,5.84,1.18,0,0,Fund 3
FUND 3,3nc00003,9701 Brookford Street (3nc00003),9701 Brookford Street,"A,  B",2023-09-07,2028-08-31,59.8,36.7,,67200.0,,Core & Main LP  (t0001090),Industrial Net,60.0,1.83,34160,0.51,409920,6.1,1.29,0,0,Fund 3
